gene,baseMean,log2FoldChange,padj
SNW1,13.971569765436426,-5.821113283988321,0.002981392376061283
ERH,52.29972796014136,-2.089982136383928,0.03986337793877729
HIF1A,88.17575707238946,-3.4203961511910426,1.5506591164593613e-5
EIF5,154.7908435806019,-1.5400882538457472,0.0049190248412312575
VRK1,6.901393856434966,-3.5574897394348994,0.046039870522298916
PSMC1,28.747856763800556,-2.1883207376840246,0.0401691070882212
PSMB5,53.72318329834932,-8.463588386451715,1.3158669419251919e-6
CCNB1IP1,21.158999121058244,-2.030400339290759,0.0327142648558968
APEX1,39.074695982108416,-7.8691015813224086,1.5869850478415862e-5
CHD8,28.226959656311447,1.549330660903027,0.03792615445211379
PSMA6,83.57937255737058,-2.784739070471862,0.006382665089351724
PSMA7,74.27617858109684,-2.0239898287594222,0.004420492181870349
GID8,11.960966538548377,-5.329452018212345,0.008560555389277894
TRIB3,28.78847961132056,-7.315050684708311,7.30345802418929e-5
HCK,15.170951910389071,5.570262644671656,0.00823569042918905
MAPRE1,20.213435573096117,-4.636748545678974,0.004755977313180934
AHCY,31.74503433548252,-4.117882584604849,0.001032821655753622
DNTTIP1,13.254374669997015,-5.566386484710699,0.006382665089351724
PSMD10,10.626600984179563,-4.766785161046375,0.021009565396271856
PGRMC1,13.29272847943229,-3.6157767667530476,0.019407701452790076
PGK1,129.36047483968164,-2.8952911737579194,0.0031842321644076762
RBM3,10.741911704367372,-5.2010620734669075,0.008262433350497575
ARL2BP,12.542415858946836,-3.7058426938279836,0.019476214841655803
USB1,8.839671793373789,-4.663342522368428,0.016839025646197565
CMC2,54.40446447589353,1.3125400377184597,0.02595173737696367
COTL1,45.33991105488634,-2.4031650489405827,0.02421734956474617
KNOP1,40.68353369390446,1.8675524437941389,0.008469820257655634
STK3,49.24140473671898,1.5753523358386397,0.04796279695261789
RAB2A,27.495968651553348,-2.8307981032663445,0.00764402001882707
EIF3E,169.72509014398256,-2.2299878811301426,7.428634721377281e-4
ESRP1,20.1843644101464,-4.548941069678588,0.004163348572755833
PPP2CB,21.675431200796574,-2.061592848050875,0.0327826832114765
BNIP3L,33.263818115646544,-2.541074935218269,0.004787139432177546
PDCD5,41.69897681836485,-2.5303416528961122,0.03578595049776241
RPS16,186.7851046864116,-1.1964101632660826,0.01851565927269037
