size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,3d_rnaEasy_1.0_AMG
497.5,1300,50800,534600,754320
498.5,1200,47000,512400,734400
499.5,1100,43400,491100,715760
500.5,1000,40100,470600,698320
501.5,900,37000,450900,682160
502.5,800,34200,432000,667120
503.5,700,31500,413800,653200
504.5,700,29000,396400,640240
505.5,600,26700,379600,628320
506.5,500,24600,363600,617440
507.5,500,22600,348100,607360
508.5,400,20800,333300,598160
509.5,400,19100,319100,589840
510.5,300,17500,305400,582240
511.5,300,16100,292400,575440
512.5,300,14700,279800,569360
513.5,200,13500,267700,564000
514.5,200,12300,256200,559200
515.5,200,11300,245100,555120
516.5,200,10300,234500,551520
517.5,200,9400,224300,548560
518.5,100,8600,214500,546160
519.5,100,7800,205100,544240
520.5,100,7100,196100,542800
521.5,0,6500,187500,541840
522.5,0,5900,179300,541360
523.5,0,5400,171400,541360
524.5,0,4900,163800,541680
525.5,0,4400,156500,542480
526.5,0,4000,149600,543600
527.5,0,3700,142900,545120
528.5,0,3300,136500,546960
529.5,0,3000,130400,549200
530.5,0,2700,124500,551760
531.5,0,2500,118900,554640
532.5,0,2200,113600,557840
533.5,0,2000,108400,561280
534.5,0,1800,103500,565040
535.5,0,1600,98800,569120
536.5,0,1500,94300,573440
537.5,0,1300,90000,578000
538.5,0,1200,85900,582880
539.5,0,1100,81900,588000
540.5,0,1000,78200,593280
541.5,0,900,74600,598880
542.5,0,800,71100,604720
543.5,0,700,67800,610720
544.5,0,600,64700,616960
545.5,0,600,61600,623440
546.5,0,500,58800,630080
547.5,0,400,56000,636960
548.5,0,400,53400,644000
549.5,0,400,50800,651280
550.5,0,300,48400,658720
551.5,0,300,46100,666320
552.5,0,200,43900,674080
553.5,0,200,41800,682000
554.5,0,200,39800,690000
555.5,0,200,37900,698240
556.5,0,200,36100,706560
557.5,0,100,34400,715040
558.5,0,100,32700,723600
559.5,0,100,31100,732320
560.5,0,0,29600,741040
561.5,0,0,28100,749920
562.5,0,0,26800,758880
563.5,0,0,25400,767840
564.5,0,0,24200,776960
565.5,0,0,23000,786000
566.5,0,0,21900,795120
567.5,0,0,20800,804240
568.5,0,0,19700,813440
569.5,0,0,18700,822560
570.5,0,0,17800,831600
571.5,0,0,16900,840640
572.5,0,0,16000,849680
573.5,0,0,15200,858560
574.5,0,0,14400,867440
575.5,0,0,13700,876160
576.5,0,0,13000,884720
577.5,0,0,12300,893200
578.5,0,0,11700,901520
579.5,0,0,11100,909680
580.5,0,0,10500,917600
581.5,0,0,10000,925360
582.5,0,0,9400,932800
583.5,0,0,8900,940080
584.5,0,0,8500,947040
585.5,0,0,8000,953760
586.5,0,0,7600,960160
587.5,0,0,7200,966240
588.5,0,0,6800,972000
589.5,0,0,6400,977360
590.5,0,0,6100,982400
591.5,0,0,5700,987040
592.5,0,0,5400,991280
593.5,0,0,5100,995040
594.5,0,0,4800,998400
595.5,0,0,4600,1001360
596.5,0,0,4300,1003760
597.5,0,0,4100,1005760
598.5,0,0,3800,1007200
599.5,0,0,3600,1008160
600.5,0,0,3400,1008640
601.5,0,0,3200,1008560
602.5,0,0,3000,1008000
603.5,0,0,2900,1006800
604.5,0,0,2700,1005120
605.5,0,0,2500,1002880
606.5,0,0,2400,1000080
607.5,0,0,2300,996720
608.5,0,0,2100,992800
609.5,0,0,2000,988320
610.5,0,0,1900,983280
611.5,0,0,1800,977680
612.5,0,0,1700,971520
613.5,0,0,1600,964800
614.5,0,0,1500,957520
615.5,0,0,1400,949680
616.5,0,0,1300,941360
617.5,0,0,1200,932560
618.5,0,0,1100,923200
619.5,0,0,1100,913280
620.5,0,0,1000,902960
621.5,0,0,900,892160
622.5,0,0,900,880880
623.5,0,0,800,869200
624.5,0,0,800,857120
625.5,0,0,700,844560
626.5,0,0,700,831680
627.5,0,0,600,818400
628.5,0,0,600,804880
629.5,0,0,600,790960
630.5,0,0,500,776720
631.5,0,0,500,762240
632.5,0,0,500,747520
633.5,0,0,400,732560
634.5,0,0,400,717440
