size,3d_exotic_amg_1,3d_exotic_amg_2,3d_exotic_amg_3,3d_exotic_dmso_1,3d_exotic_dmso_2,3d_exotic_dmso_3
235.5,3763315,6590795,6014045,7476890,4171785,5198815
236.5,3672960,6431590,5880025,7257220,4043775,5072510
237.5,3585450,6273960,5747965,7042905,3918955,4949370
238.5,3500725,6118030,5617915,6833960,3797300,4829450
239.5,3418725,5963920,5489935,6630405,3678780,4712775
240.5,3339385,5811725,5364075,6432235,3563380,4599385
241.5,3262655,5661550,5240365,6239435,3451080,4489290
242.5,3188470,5513490,5118855,6051985,3341850,4382500
243.5,3116765,5367630,4999570,5869855,3235670,4279005
244.5,3047485,5224050,4882550,5693000,3132515,4178795
245.5,2980570,5082830,4767810,5521370,3032365,4081830
246.5,2915965,4944030,4655370,5354915,2935185,3988085
247.5,2853605,4807710,4545260,5193575,2840945,3897505
248.5,2793430,4673925,4437480,5037280,2749625,3810030
249.5,2735395,4542720,4332045,4885965,2661185,3725600
250.5,2679435,4414140,4228965,4739560,2575590,3644140
251.5,2625490,4288215,4128240,4597980,2492805,3565560
252.5,2573515,4164975,4029870,4461150,2412795,3489785
253.5,2523455,4044440,3933845,4328990,2335515,3416715
254.5,2475250,3926625,3840170,4201415,2260925,3346255
255.5,2428850,3811540,3748825,4078340,2188985,3278300
256.5,2384205,3699190,3659805,3959670,2119640,3212745
257.5,2341265,3589580,3573085,3845320,2052850,3149490
258.5,2299980,3482695,3488655,3735195,1988565,3088425
259.5,2260300,3378535,3406490,3629200,1926730,3029435
260.5,2222175,3277080,3326565,3527240,1867295,2972410
261.5,2185560,3178315,3248855,3429220,1810210,2917250
262.5,2150405,3082215,3173330,3335035,1755420,2863840
263.5,2116670,2988755,3099955,3244585,1702870,2812075
264.5,2084310,2897905,3028700,3157770,1652500,2761855
265.5,2053275,2809635,2959525,3074480,1604260,2713070
266.5,2023525,2723910,2892395,2994615,1558090,2665630
267.5,1995015,2640690,2827270,2918065,1513935,2619440
268.5,1967710,2559935,2764105,2844720,1471735,2574405
269.5,1941560,2481605,2702850,2774475,1431440,2530435
270.5,1916530,2405650,2643470,2707215,1392985,2487460
271.5,1892575,2332035,2585910,2642840,1356320,2445395
272.5,1869655,2260705,2530120,2581230,1321385,2404165
273.5,1847740,2191610,2476055,2522280,1288130,2363715
274.5,1826775,2124705,2423655,2465880,1256495,2323975
275.5,1806735,2059940,2372880,2411920,1226425,2284890
276.5,1787575,1997260,2323660,2360305,1197875,2246415
277.5,1769260,1936610,2275955,2310915,1170785,2208500
278.5,1751745,1877945,2229700,2263660,1145110,2171110
279.5,1735000,1821210,2184845,2218435,1120790,2134210
280.5,1718985,1766350,2141335,2175145,1097785,2097775
281.5,1703660,1713310,2099110,2133690,1076045,2061780
282.5,1688985,1662040,2058110,2093990,1055520,2026205
283.5,1674930,1612490,2018290,2055950,1036160,1991040
284.5,1661445,1564600,1979585,2019490,1017930,1956275
285.5,1648500,1518325,1941945,1984530,1000780,1921910
286.5,1636055,1473610,1905315,1950995,984665,1887935
287.5,1624065,1430405,1869635,1918815,969545,1854360
288.5,1612500,1388660,1834860,1887925,955385,1821190
289.5,1601315,1348320,1800930,1858260,942135,1788425
290.5,1590470,1309340,1767795,1829765,929760,1756085
291.5,1579925,1271675,1735410,1802385,918220,1724170
292.5,1569640,1235270,1703725,1776070,907485,1692705
293.5,1559575,1200080,1672690,1750775,897510,1661690
294.5,1549680,1166065,1642260,1726455,888265,1631145
295.5,1539925,1133180,1612390,1703070,879715,1601085
296.5,1530260,1101375,1583035,1680590,871820,1571520
297.5,1520645,1070615,1554160,1658970,864550,1542460
298.5,1511035,1040850,1525725,1638180,857875,1513910
299.5,1501390,1012050,1497695,1618195,851755,1485890
300.5,1491665,984165,1470030,1598985,846165,1458400
301.5,1481820,957170,1442700,1580520,841070,1431445
302.5,1471810,931020,1415680,1562770,836440,1405025
303.5,1461595,905680,1388935,1545710,832245,1379140
304.5,1451125,881120,1362440,1529315,828455,1353790
305.5,1440370,857305,1336175,1513550,825035,1328970
306.5,1429280,834205,1310120,1498390,821960,1304670
307.5,1417820,811790,1284250,1483800,819195,1280875
308.5,1405955,790030,1258560,1469750,816715,1257585
309.5,1393640,768900,1233025,1456205,814490,1234770
310.5,1380845,748370,1207640,1443125,812490,1212420
311.5,1367530,728420,1182395,1430465,810690,1190520
312.5,1353675,709025,1157285,1418195,809055,1169035
313.5,1339240,690165,1132300,1406255,807555,1147955
314.5,1324200,671815,1107445,1394605,806170,1127250
315.5,1308535,653960,1082715,1383190,804865,1106895
316.5,1292225,636580,1058115,1371955,803610,1086865
