size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,2d_rnaEasy_NA_DMSO
166.5,267361300,140414400,158222200,136543200
167.5,275755600,144273800,161903900,137622800
168.5,284427900,148335100,165669900,138709200
169.5,293373900,152599100,169518000,139809000
170.5,302588500,157066000,173445400,140928600
171.5,312065900,161735900,177449500,142074600
172.5,321799500,166608200,181527600,143253600
173.5,331782200,171681900,185676900,144471800
174.5,342006400,176955500,189894700,145735600
175.5,352464000,182427000,194178000,147051000
176.5,363146200,188093800,198524200,148423800
177.5,374044200,193952900,202930200,149859500
178.5,385148700,200000800,207393500,151363300
179.5,396450000,206233500,211911300,152940200
180.5,407938300,212646300,216480800,154594800
181.5,419603900,219234300,221099500,156331300
182.5,431436600,225991900,225764700,158153600
183.5,443426300,232913100,230474000,160065200
184.5,455563000,239991500,235224900,162069300
185.5,467836500,247220300,240015100,164168600
186.5,480236900,254592200,244842200,166365800
187.5,492754000,262099800,249704000,168662700
188.5,505378100,269735000,254598200,171061200
189.5,518099400,277489600,259522700,173562500
190.5,530908000,285355300,264475300,176167800
191.5,543794300,293323200,269453900,178877600
192.5,556748900,301384500,274456500,181692300
193.5,569762000,309530100,279481000,184611900
194.5,582824200,317750800,284525200,187636000
195.5,595925900,326037400,289587100,190764100
196.5,609057500,334380600,294664600,193995100
197.5,622209400,342771100,299755700,197327800
198.5,635371600,351199400,304858000,200760600
199.5,648534200,359656400,309969400,204291600
200.5,661686700,368132800,315087800,207918700
201.5,674818600,376619500,320210900,211639400
202.5,687918800,385107500,325336200,215451000
203.5,700975800,393588000,330461500,219350600
204.5,713977600,402052300,335584400,223334800
205.5,726911700,410491800,340702400,227400300
206.5,739764700,418898200,345812900,231543200
207.5,752522600,427263400,350913400,235759700
208.5,765170900,435579300,356001300,240045400
209.5,777693700,443838200,361074000,244396100
210.5,790074800,452032500,366128700,248807100
211.5,802296600,460154900,371162700,253273600
212.5,814340800,468198100,376173300,257790700
213.5,826188000,476155100,381157500,262353200
214.5,837817900,484019100,386112700,266955900
215.5,849208900,491783300,391036000,271593400
216.5,860338800,499441400,395924400,276260100
217.5,871184000,506986800,400775000,280950500
218.5,881720300,514413400,405585100,285658800
219.5,891922400,521715000,410351500,290379300
220.5,901764100,528885700,415071500,295106200
221.5,911218800,535919500,419741900,299833700
222.5,920259000,542810600,424359900,304556000
223.5,928856800,549553400,428922400,309267100
224.5,936983900,556142300,433426500,313961400
225.5,944611900,562571600,437869100,318633100
226.5,951712200,568836100,442247300,323276500
227.5,958256600,574930200,446557800,327886000
228.5,964217100,580848800,450797800,332456100
229.5,969566500,586586700,454964000,336981500
230.5,974278300,592138700,459053200,341456800
231.5,978327000,597499900,463062500,345877100
232.5,981688400,602665400,466988400,350237300
233.5,984340000,607630300,470827800,354532600
234.5,986260900,612390100,474577300,358758500
235.5,987432300,616940300,478233700,362910500
236.5,987837500,621276500,481793400,366984400
237.5,987462400,625394400,485253000,370976200
238.5,986295300,629290100,488608900,374882000
239.5,984327400,632959800,491857600,378698200
240.5,981552900,636399800,494995300,382421400
