size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
360.5,,23295800,129619200,45942300
361.5,,22757600,125472900,44408700
362.5,,22238500,121433200,42940400
363.5,,21737300,117501800,41534800
364.5,,21253200,113680200,40189000
365.5,,20785000,109969200,38900500
366.5,,20332000,106369600,37666600
367.5,,19893300,102881400,36484900
368.5,,19467900,99504500,35353100
369.5,,19055100,96238500,34268800
370.5,,18654100,93082300,33229800
371.5,,18264000,90034700,32234000
372.5,,17884300,87094400,31279200
373.5,,17514200,84259400,30363600
374.5,,17153100,81527700,29485300
375.5,,16800300,78897100,28642400
376.5,,16455200,76365000,27833200
377.5,,16117400,73928800,27056000
378.5,,15786200,71585600,26309300
379.5,,15461300,69332400,25591500
380.5,,15142200,67166300,24901100
381.5,,14828400,65084100,24236900
382.5,,14519500,63082600,23597500
383.5,,14215400,61158600,22981600
384.5,,13915500,59308800,22388000
385.5,,13619800,57530100,21815700
386.5,,13327900,55819200,21263500
387.5,,13039500,54173100,20730500
388.5,,12754700,52588700,20215700
389.5,,12473100,51062900,19718000
390.5,,12194700,49592900,19236800
391.5,,11919500,48175900,18771200
392.5,,11647300,46809200,18320400
393.5,,11378100,45490200,17883600
394.5,,11112000,44216300,17460300
395.5,,10848800,42985400,17049700
396.5,,10588800,41795000,16651200
397.5,,10331900,40643200,16264300
398.5,,10078100,39527900,15888400
399.5,,9827700,38447300,15523000
400.5,,9580700,37399600,15167700
401.5,,9337100,36383200,14821900
402.5,,9097100,35396500,14485400
403.5,,8860900,34438100,14157600
404.5,,8628500,33506700,13838300
405.5,,8400000,32601000,13527000
406.5,,8175700,31719900,13223600
407.5,,7955500,30862400,12927600
408.5,,7739600,30027400,12638900
409.5,,7528000,29214000,12357100
410.5,,7321000,28421400,12082000
411.5,,7118400,27648800,11813400
412.5,,6920500,26895500,11551200
413.5,,6727200,26160700,11295100
414.5,,6538500,25443900,11045000
415.5,,6354600,24744400,10800700
416.5,,6175300,24061800,10562100
417.5,,6000700,23395400,10329000
418.5,,5830700,22744800,10101300
419.5,,5665300,22109600,9879000
420.5,,5504500,21489200,9661900
421.5,,5348000,20883400,9449900
422.5,,5196000,20291700,9242900
423.5,,5048100,19713700,9041000
424.5,,4904500,19149200,8843900
425.5,,4764800,18597700,8651700
426.5,,4629000,18059000,8464300
427.5,,4497000,17532700,8281700
428.5,,4368600,17018500,8103700
429.5,,4243700,16516300,7930400
430.5,,4122100,16025600,7761700
431.5,,4003600,15546200,7597500
432.5,,3888300,15078000,7437900
433.5,,3775800,14620600,7282800
434.5,,3666100,14173800,7132100
435.5,,3559000,13737300,6985900
436.5,,3454400,13311100,6844000
437.5,,3352200,12894800,6706400
438.5,,3252300,12488200,6573200
439.5,,3154500,12091100,6444300
440.5,,3058900,11703400,6319500
441.5,,2965200,11324900,6199000
442.5,,2873400,10955300,6082600
443.5,,2783400,10594500,5970300
444.5,,2695200,10242400,5862000
445.5,,2608700,9898700,5757800
446.5,,2523900,9563300,5657500
447.5,,2440700,9236100,5561100
448.5,,2359100,8916900,5468500
449.5,,2279100,8605500,5379600
450.5,,2200700,8301900,5294500
451.5,,2123700,8005800,5213000
452.5,,2048300,7717200,5135000
453.5,,1974400,7435900,5060600
454.5,,1902100,7161900,4989500
455.5,,1831200,6894900,4921800
456.5,,1761900,6634900,4857300
457.5,,1694100,6381700,4796000
458.5,,1627800,6135300,4737800
